Name                                                                                                Stmts   Miss  Cover
polaris\cells\llm\dialogue\internal\docs_dialogue.py                                                  220    198    10%
polaris\cells\llm\dialogue\internal\docs_suggest.py                                                   138    123    11%
polaris\cells\llm\dialogue\internal\role_dialogue.py                                                  609    553     9%
polaris\cells\llm\dialogue\public\__init__.py                                                           3      0   100%
polaris\cells\llm\dialogue\public\contracts.py                                                         91     35    62%
polaris\cells\llm\dialogue\public\service.py                                                           30     18    40%
polaris\cells\llm\evaluation\__init__.py                                                                2      0   100%
polaris\cells\llm\evaluation\internal\__init__.py                                                       3      0   100%
polaris\cells\llm\evaluation\internal\agentic_benchmark.py                                            259    230    11%
polaris\cells\llm\evaluation\internal\baseline_library.py                                             138    119    14%
polaris\cells\llm\evaluation\internal\benchmark_loader.py                                              70     49    30%
polaris\cells\llm\evaluation\internal\benchmark_models.py                                             196    105    46%
polaris\cells\llm\evaluation\internal\constants.py                                                     37     13    65%
polaris\cells\llm\evaluation\internal\deterministic_judge.py                                          599    434    28%
polaris\cells\llm\evaluation\internal\index.py                                                        218    170    22%
polaris\cells\llm\evaluation\internal\interview.py                                                     75     64    15%
polaris\cells\llm\evaluation\internal\path_validators.py                                               87     70    20%
polaris\cells\llm\evaluation\internal\readiness_tests.py                                               78     67    14%
polaris\cells\llm\evaluation\internal\runner.py                                                       243    156    36%
polaris\cells\llm\evaluation\internal\session_workflow_matrix.py                                      221    138    38%
polaris\cells\llm\evaluation\internal\suites.py                                                       162    148     9%
polaris\cells\llm\evaluation\internal\timeout.py                                                       95     62    35%
polaris\cells\llm\evaluation\internal\tool_calling_matrix.py                                          848    731    14%
polaris\cells\llm\evaluation\internal\utils.py                                                         95     74    22%
polaris\cells\llm\evaluation\public\__init__.py                                                         3      0   100%
polaris\cells\llm\evaluation\public\contracts.py                                                       86     36    58%
polaris\cells\llm\evaluation\public\service.py                                                         91     64    30%
polaris\cells\llm\provider_runtime\__init__.py                                                          2      0   100%
polaris\cells\llm\provider_runtime\internal\__init__.py                                                 4      0   100%
polaris\cells\llm\provider_runtime\internal\cell_executor.py                                          105     65    38%
polaris\cells\llm\provider_runtime\internal\provider_actions.py                                        33     26    21%
polaris\cells\llm\provider_runtime\internal\providers.py                                                6      2    67%
polaris\cells\llm\provider_runtime\internal\runtime_invoke.py                                          64     53    17%
polaris\cells\llm\provider_runtime\internal\runtime_support.py                                         21     15    29%
polaris\cells\llm\provider_runtime\public\__init__.py                                                   3      0   100%
polaris\cells\llm\provider_runtime\public\contracts.py                                                 90     36    60%
polaris\cells\llm\provider_runtime\public\service.py                                                   45     27    40%
polaris\cells\orchestration\__init__.py                                                                 0      0   100%
polaris\cells\orchestration\pm_planning\__init__.py                                                     3      0   100%
polaris\cells\orchestration\pm_planning\internal\__init__.py                                            0      0   100%
polaris\cells\orchestration\pm_planning\internal\dependency_validator.py                               79     69    13%
polaris\cells\orchestration\pm_planning\internal\pipeline_ports.py                                    403    329    18%
polaris\cells\orchestration\pm_planning\internal\pm_agent.py                                          285    230    19%
polaris\cells\orchestration\pm_planning\internal\shared_quality.py                                    175    147    16%
polaris\cells\orchestration\pm_planning\internal\task_quality_gate.py                                 285    263     8%
polaris\cells\orchestration\pm_planning\pipeline.py                                                   354    311    12%
polaris\cells\orchestration\pm_planning\public\__init__.py                                              5      0   100%
polaris\cells\orchestration\pm_planning\public\contracts.py                                            63     25    60%
polaris\cells\orchestration\pm_planning\public\pipeline.py                                              4      0   100%
polaris\cells\orchestration\pm_planning\public\service.py                                               7      0   100%
polaris\cells\orchestration\pm_planning\service.py                                                    363    305    16%
polaris\cells\orchestration\workflow_runtime\__init__.py                                                3      0   100%
polaris\cells\orchestration\workflow_runtime\internal\__init__.py                                       0      0   100%
polaris\cells\orchestration\workflow_runtime\internal\config.py                                        49     25    49%
polaris\cells\orchestration\workflow_runtime\internal\embedded_api.py                                 507    430    15%
polaris\cells\orchestration\workflow_runtime\internal\event_stream.py                                 109     46    58%
polaris\cells\orchestration\workflow_runtime\internal\models.py                                       208    102    51%
polaris\cells\orchestration\workflow_runtime\internal\observability.py                                263    189    28%
polaris\cells\orchestration\workflow_runtime\internal\ports.py                                         48      3    94%
