Name                                                                                                Stmts   Miss  Cover
polaris\cells\runtime\task_market\internal\saga.py                                                    122    101    17%
polaris\cells\runtime\task_market\internal\service.py                                                 940    850    10%
polaris\cells\runtime\task_market\internal\store.py                                                   224    183    18%
polaris\cells\runtime\task_market\internal\tracing.py                                                  48     28    42%
polaris\cells\runtime\task_market\public\__init__.py                                                    7      0   100%
polaris\cells\runtime\task_market\public\contracts.py                                                 441    167    62%
polaris\cells\runtime\task_market\public\dlq_api.py                                                    24     15    38%
polaris\cells\runtime\task_market\public\hitl_api.py                                                   37     25    32%
polaris\cells\runtime\task_market\public\metrics.py                                                     3      0   100%
polaris\cells\runtime\task_market\public\service.py                                                     3      0   100%
polaris\cells\runtime\task_runtime\__init__.py                                                          3      0   100%
polaris\cells\runtime\task_runtime\internal\__init__.py                                                 2      0   100%
polaris\cells\runtime\task_runtime\internal\execution_session.py                                      109     63    42%
polaris\cells\runtime\task_runtime\internal\service.py                                                430    376    13%
polaris\cells\runtime\task_runtime\internal\task_board.py                                             510    391    23%
polaris\cells\runtime\task_runtime\public\__init__.py                                                   3      0   100%
polaris\cells\runtime\task_runtime\public\contracts.py                                                100     41    59%
polaris\cells\runtime\task_runtime\public\service.py                                                    3      0   100%
polaris\cells\storage\__init__.py                                                                       0      0   100%
polaris\cells\storage\layout\__init__.py                                                                7      0   100%
polaris\cells\storage\layout\internal\__init__.py                                                       4      0   100%
polaris\cells\storage\layout\internal\layout_business.py                                               94     67    29%
polaris\cells\storage\layout\internal\settings_utils.py                                               191    169    12%
polaris\cells\storage\layout\public\__init__.py                                                         7      0   100%
polaris\cells\storage\layout\public\contracts.py                                                       66     23    65%
polaris\cells\storage\layout\public\service.py                                                         35     19    46%
polaris\cells\workspace\__init__.py                                                                     0      0   100%
polaris\cells\workspace\integrity\__init__.py                                                           0      0   100%
polaris\cells\workspace\integrity\internal\__init__.py                                                  0      0   100%
polaris\cells\workspace\integrity\internal\code_intel.py                                               30     21    30%
polaris\cells\workspace\integrity\internal\diff_tracker.py                                            217    172    21%
polaris\cells\workspace\integrity\internal\fs_utils.py                                                 40     28    30%
polaris\cells\workspace\integrity\internal\workspace_service.py                                       174    141    19%
polaris\cells\workspace\integrity\public\__init__.py                                                    3      0   100%
polaris\cells\workspace\integrity\public\contracts.py                                                  57     20    65%
polaris\cells\workspace\integrity\public\service.py                                                    83     23    72%
polaris\config\__init__.py                                                                              0      0   100%
polaris\config\director_config.py                                                                      28      8    71%
polaris\config\llm_config.py                                                                            8      0   100%
polaris\config\nats_config.py                                                                          46     21    54%
polaris\config\pm_config.py                                                                            17      0   100%
polaris\domain\__init__.py                                                                              8      0   100%
polaris\domain\cognitive_runtime\__init__.py                                                            2      0   100%
polaris\domain\cognitive_runtime\models.py                                                            319     89    72%
polaris\domain\director\__init__.py                                                                     4      0   100%
polaris\domain\director\constants.py                                                                   80      0   100%
polaris\domain\director\context_constants.py                                                           11      0   100%
polaris\domain\director\lifecycle.py                                                                  143    103    28%
polaris\domain\entities\__init__.py                                                                     4      0   100%
polaris\domain\entities\capability.py                                                                 144     79    45%
polaris\domain\entities\defect.py                                                                       2      0   100%
polaris\domain\entities\evidence_bundle.py                                                            129     29    78%
polaris\domain\entities\policy.py                                                                     116     26    78%
polaris\domain\entities\task.py                                                                       196     95    52%
polaris\domain\entities\worker.py                                                                      83     26    69%
polaris\domain\entities\workflow.py                                                                    33     10    70%
polaris\domain\exceptions.py                                                                          178    101    43%
polaris\domain\language.py                                                                              7      3    57%
polaris\domain\models\__init__.py                                                                       3      0   100%
polaris\domain\models\config_snapshot.py                                                              189    127    33%
polaris\domain\models\task.py                                                                           5      0   100%
polaris\domain\services\__init__.py                                                                     9      0   100%
polaris\domain\services\background_task.py                                                            265    182    31%
polaris\domain\services\director_logic_service.py                                                      93     81    13%
polaris\domain\services\llm_compact_service.py                                                         71     49    31%
polaris\domain\services\security_service.py                                                            72     48    33%
polaris\domain\services\skill_template_service.py                                                      92     65    29%
polaris\domain\services\todo_service.py                                                               225    159    29%
polaris\domain\services\token_service.py                                                              142     98    31%
polaris\domain\services\tool_timeout_service.py                                                        56     33    41%
polaris\domain\services\transcript_service.py                                                         148     94    36%
polaris\domain\state_machine\__init__.py                                                                3      0   100%
polaris\domain\state_machine\phase_executor.py                                                        236    200    15%
polaris\domain\state_machine\task_phase.py                                                            112     48    57%
polaris\domain\verification\__init__.py                                                                 7      0   100%
polaris\domain\verification\business_validators.py                                                    109     96    12%
polaris\domain\verification\evidence_collector.py                                                     147     59    60%
polaris\domain\verification\existence_gate.py                                                          39     21    46%
polaris\domain\verification\impact_analyzer.py                                                        152    117    23%
polaris\domain\verification\progress_delta.py                                                          62     44    29%
polaris\domain\verification\soft_check.py                                                             112     87    22%
polaris\domain\verification\write_gate.py                                                              57     42    26%
polaris\infrastructure\__init__.py                                                                     14      9    36%
polaris\infrastructure\accel\__init__.py                                                                5      0   100%
polaris\infrastructure\accel\cli.py                                                                   175    163     7%
polaris\infrastructure\accel\config.py                                                                102     88    14%
polaris\infrastructure\accel\config_runtime.py                                                        342    317     7%
polaris\infrastructure\accel\eval\__init__.py                                                           3      0   100%
polaris\infrastructure\accel\eval\metrics.py                                                           55     46    16%
polaris\infrastructure\accel\hooks\__init__.py                                                          1      0   100%
polaris\infrastructure\accel\hooks\post_hook.py                                                        21     10    52%
polaris\infrastructure\accel\hooks\pre_hook.py                                                         33     19    42%
polaris\infrastructure\accel\indexers\__init__.py                                                     383    333    13%
polaris\infrastructure\accel\indexers\deps.py                                                          46     36    22%
polaris\infrastructure\accel\indexers\discovery.py                                                    176    148    16%
polaris\infrastructure\accel\indexers\references.py                                                    49     40    18%
polaris\infrastructure\accel\indexers\symbols.py                                                      473    430     9%
polaris\infrastructure\accel\indexers\tests_ownership.py                                               42     36    14%
polaris\infrastructure\accel\language_profiles.py                                                      99     87    12%
polaris\infrastructure\accel\polaris_paths.py                                                          59     32    46%
polaris\infrastructure\accel\query\__init__.py                                                          7      0   100%
polaris\infrastructure\accel\query\adaptive_budget.py                                                  64     54    16%
polaris\infrastructure\accel\query\content_search.py                                                  105     86    18%
polaris\infrastructure\accel\query\context_compiler.py                                                314    281    11%
polaris\infrastructure\accel\query\lexical_ranker.py                                                  311    292     6%
polaris\infrastructure\accel\query\pattern_detector.py                                                193    182     6%
polaris\infrastructure\accel\query\planner.py                                                          24     18    25%
polaris\infrastructure\accel\query\project_stats.py                                                    99     88    11%
polaris\infrastructure\accel\query\ranker.py                                                           93     70    25%
polaris\infrastructure\accel\query\relation_query.py                                                  120    112     7%
polaris\infrastructure\accel\query\rule_compressor.py                                                  84     78     7%
polaris\infrastructure\accel\query\semantic_relations.py                                              198    180     9%
polaris\infrastructure\accel\query\snippet_extractor.py                                                93     83    11%
polaris\infrastructure\accel\query\symbol_query.py                                                    287    266     7%
polaris\infrastructure\accel\schema\__init__.py                                                         3      0   100%
polaris\infrastructure\accel\schema\contracts.py                                                      300    278     7%
polaris\infrastructure\accel\semantic_ranker.py                                                        29     22    24%
polaris\infrastructure\accel\storage\__init__.py                                                        4      0   100%
polaris\infrastructure\accel\storage\cache.py                                                          31     19    39%
polaris\infrastructure\accel\storage\index_cache.py                                                   118     99    16%
polaris\infrastructure\accel\token_estimator.py                                                        60     48    20%
polaris\infrastructure\accel\utils.py                                                                  25     14    44%
polaris\infrastructure\accel\verify\__init__.py                                                         2      0   100%
polaris\infrastructure\accel\verify\callbacks.py                                                       47     11    77%
polaris\infrastructure\accel\verify\job_manager.py                                                    187    122    35%
polaris\infrastructure\accel\verify\orchestrator.py                                                     3      0   100%
polaris\infrastructure\accel\verify\orchestrator_helpers.py                                           264    228    14%
polaris\infrastructure\accel\verify\runners.py                                                        114     98    14%
polaris\infrastructure\accel\verify\sharding.py                                                       354    324     8%
polaris\infrastructure\accel\verify\sharding_workspace.py                                             268    243     9%
polaris\infrastructure\accel\verify\verify\__init__.py                                                  5      0   100%
polaris\infrastructure\accel\verify\verify\cli.py                                                      32     21    34%
polaris\infrastructure\accel\verify\verify\core.py                                                    176    121    31%
polaris\infrastructure\accel\verify\verify\formatters.py                                              130    110    15%
polaris\infrastructure\accel\verify\verify\gate_checker.py                                            118     94    20%
polaris\infrastructure\accel\verify\verify\report_generator.py                                         86     66    23%
polaris\infrastructure\accel\verify\verify\runner_utils.py                                             47     36    23%
polaris\infrastructure\audit\__init__.py                                                                2      0   100%
polaris\infrastructure\audit\adapters\__init__.py                                                       2      0   100%
polaris\infrastructure\audit\adapters\store_adapter.py                                                 39     21    46%
polaris\infrastructure\audit\sinks\audit_hash_sink.py                                                  65     49    25%
polaris\infrastructure\audit\stores\__init__.py                                                         5      0   100%
polaris\infrastructure\audit\stores\audit_store.py                                                    249    184    26%
polaris\infrastructure\audit\stores\evidence_store.py                                                 117     97    17%
polaris\infrastructure\audit\stores\log_store.py                                                      116    100    14%
polaris\infrastructure\code_intelligence\__init__.py                                                    4      0   100%
polaris\infrastructure\code_intelligence\code_intelligence.py                                          38     23    39%
polaris\infrastructure\code_intelligence\code_intelligence_async.py                                   260    198    24%
polaris\infrastructure\code_intelligence\incremental_analyzer.py                                      206    163    21%
polaris\infrastructure\cognitive_runtime\__init__.py                                                    3      0   100%
polaris\infrastructure\cognitive_runtime\metrics_collector.py                                         186    152    18%
polaris\infrastructure\cognitive_runtime\sqlite_store.py                                              176    137    22%
polaris\infrastructure\cognitive_runtime\tests\test_metrics_collector.py                              174    148    15%
polaris\infrastructure\cognitive_runtime\tests\test_sqlite_store.py                                    38     28    26%
polaris\infrastructure\compat\__init__.py                                                               0      0   100%
polaris\infrastructure\compat\io_utils.py                                                             122     74    39%
polaris\infrastructure\db\__init__.py                                                                   2      0   100%
polaris\infrastructure\db\adapters\__init__.py                                                          4      0   100%
polaris\infrastructure\db\adapters\lancedb_adapter.py                                                   8      3    62%
polaris\infrastructure\db\adapters\sqlalchemy_adapter.py                                               15      9    40%
polaris\infrastructure\db\adapters\sqlite_adapter.py                                                   46     36    22%
polaris\infrastructure\db\repositories\__init__.py                                                      6      0   100%
polaris\infrastructure\db\repositories\accel_semantic_cache_store.py                                  228    190    17%
polaris\infrastructure\db\repositories\accel_session_receipt_store.py                                 338    299    12%
polaris\infrastructure\db\repositories\accel_state_db.py                                              112     86    23%
polaris\infrastructure\db\repositories\lancedb_code_search.py                                         143    122    15%
polaris\infrastructure\db\repositories\workflow_runtime_store.py                                      215    141    34%
polaris\infrastructure\di\__init__.py                                                                  11      5    55%
polaris\infrastructure\di\container.py                                                                 83     53    36%
polaris\infrastructure\di\factories.py                                                                 57     39    32%
polaris\infrastructure\di\scope.py                                                                    155    111    28%
polaris\infrastructure\di\tests\__init__.py                                                             0      0   100%
polaris\infrastructure\di\tests\test_scope.py                                                         180    148    18%
polaris\infrastructure\llm\__init__.py                                                                 15      6    60%
polaris\infrastructure\llm\adapters\local_embedding_adapter.py                                         20     12    40%
polaris\infrastructure\llm\adapters\ollama_embedding_adapter.py                                        14      6    57%
polaris\infrastructure\llm\adapters\ollama_runtime_adapter.py                                          36     29    19%
polaris\infrastructure\llm\adapters\stub_embedding_adapter.py                                          10      4    60%
polaris\infrastructure\llm\instructor_client.py                                                       154    118    23%
polaris\infrastructure\llm\provider_bootstrap.py                                                      117     95    19%
polaris\infrastructure\llm\provider_runtime_adapter.py                                                 55     42    24%
polaris\infrastructure\llm\providers\__init__.py                                                       42     36    14%
polaris\infrastructure\llm\providers\anthropic_compat_provider.py                                     340    294    14%
polaris\infrastructure\llm\providers\codex_cli_args.py                                                122    114     7%
polaris\infrastructure\llm\providers\codex_cli_provider.py                                            243    204    16%
polaris\infrastructure\llm\providers\codex_command_utils.py                                            58     49    16%
polaris\infrastructure\llm\providers\codex_output_parser.py                                           129    122     5%
polaris\infrastructure\llm\providers\codex_process.py                                                 157    134    15%
polaris\infrastructure\llm\providers\codex_sdk_provider.py                                            194    163    16%
polaris\infrastructure\llm\providers\gemini_api_provider.py                                           235    196    17%
polaris\infrastructure\llm\providers\gemini_cli_provider.py                                           223    183    18%
polaris\infrastructure\llm\providers\http_utils.py                                                     82     69    16%
polaris\infrastructure\llm\providers\kimi_provider.py                                                 337    297    12%
polaris\infrastructure\llm\providers\minimax_provider.py                                              516    469     9%
polaris\infrastructure\llm\providers\ollama_provider.py                                               341    296    13%
polaris\infrastructure\llm\providers\openai_compat_provider.py                                        330    279    15%
polaris\infrastructure\llm\providers\provider_helpers.py                                              549    447    19%
polaris\infrastructure\llm\providers\provider_registry.py                                             276    193    30%
polaris\infrastructure\llm\sdk\__init__.py                                                              5      0   100%
polaris\infrastructure\llm\sdk\base_sdk.py                                                             46      6    87%
polaris\infrastructure\llm\sdk\codex_sdk.py                                                             5      1    80%
polaris\infrastructure\llm\sdk\completion_integrity.py                                                 94     68    28%
polaris\infrastructure\llm\sdk\openai_sdk.py                                                          166    146    12%
polaris\infrastructure\llm\sdk\truncation.py                                                           21     10    52%
polaris\infrastructure\llm\token_service.py                                                             2      0   100%
polaris\infrastructure\llm\token_tracking_wrapper.py                                                   59     45    24%
polaris\infrastructure\llm\tools\__init__.py                                                            4      0   100%
polaris\infrastructure\llm\tools\executor_adapter.py                                                   24     18    25%
polaris\infrastructure\llm\tools\parser_adapter.py                                                     16      9    44%
polaris\infrastructure\llm\tools\runtime_factory.py                                                     6      1    83%
polaris\infrastructure\log_pipeline\__init__.py                                                        11      0   100%
polaris\infrastructure\log_pipeline\adapters.py                                                       145    127    12%
polaris\infrastructure\log_pipeline\canonical_event.py                                                 98     52    47%
polaris\infrastructure\log_pipeline\enrichment.py                                                     177    136    23%
polaris\infrastructure\log_pipeline\jetstream_publisher.py                                            132     96    27%
polaris\infrastructure\log_pipeline\journal_sink.py                                                    81     64    21%
polaris\infrastructure\log_pipeline\llm_realtime_bridge.py                                            195    158    19%
polaris\infrastructure\log_pipeline\query.py                                                          140    101    28%
polaris\infrastructure\log_pipeline\run_context.py                                                     95     59    38%
polaris\infrastructure\log_pipeline\writer.py                                                         203    159    22%
polaris\infrastructure\messaging\__init__.py                                                           18     13    28%
polaris\infrastructure\messaging\nats\__init__.py                                                      18     13    28%
polaris\infrastructure\messaging\nats\client.py                                                       305    226    26%
polaris\infrastructure\messaging\nats\jetstream_admin.py                                              229    176    23%
polaris\infrastructure\messaging\nats\nats_types.py                                                    64      5    92%
polaris\infrastructure\messaging\nats\server_runtime.py                                               135     94    30%
polaris\infrastructure\messaging\nats\ws_consumer_manager.py                                          164    140    15%
polaris\infrastructure\persistence\__init__.py                                                          4      0   100%
polaris\infrastructure\persistence\state_store.py                                                     184    156    15%
polaris\infrastructure\realtime\__init__.py                                                             0      0   100%
polaris\infrastructure\realtime\process_local\__init__.py                                               0      0   100%
polaris\infrastructure\realtime\process_local\log_fanout.py                                            84     51    39%
polaris\infrastructure\realtime\process_local\message_event_fanout.py                                 273    207    24%
polaris\infrastructure\realtime\process_local\signal_hub.py                                           242    184    24%
polaris\infrastructure\storage\__init__.py                                                             14      4    71%
polaris\infrastructure\storage\adapter.py                                                             171    129    25%
polaris\infrastructure\storage\local_fs_adapter.py                                                     55     37    33%
polaris\kernelone\__init__.py                                                                          10      4    60%
polaris\kernelone\_runtime_config.py                                                                   52     12    77%
polaris\kernelone\akashic\__init__.py                                                                  10      0   100%
polaris\kernelone\akashic\compression_daemon.py                                                       252    197    22%
polaris\kernelone\akashic\episodic_memory.py                                                          165    121    27%
polaris\kernelone\akashic\knowledge_pipeline\__init__.py                                               13      0   100%
polaris\kernelone\akashic\knowledge_pipeline\embedding_computer.py                                     87     67    23%
polaris\kernelone\akashic\knowledge_pipeline\extractors\__init__.py                                    12      0   100%
polaris\kernelone\akashic\knowledge_pipeline\extractors\base.py                                        52     33    37%
polaris\kernelone\akashic\knowledge_pipeline\extractors\csv_extractor.py                               31     19    39%
polaris\kernelone\akashic\knowledge_pipeline\extractors\docx_extractor.py                             102     86    16%
polaris\kernelone\akashic\knowledge_pipeline\extractors\extractor_registry.py                          72     52    28%
polaris\kernelone\akashic\knowledge_pipeline\extractors\html_extractor.py                              76     58    24%
polaris\kernelone\akashic\knowledge_pipeline\extractors\markdown_extractor.py                          97     82    15%
polaris\kernelone\akashic\knowledge_pipeline\extractors\pdf_extractor.py                               96     78    19%
polaris\kernelone\akashic\knowledge_pipeline\extractors\pptx_extractor.py                              58     41    29%
polaris\kernelone\akashic\knowledge_pipeline\extractors\text_extractor.py                              25     18    28%
polaris\kernelone\akashic\knowledge_pipeline\extractors\xlsx_extractor.py                              56     39    30%
polaris\kernelone\akashic\knowledge_pipeline\idempotent_vector_store.py                               141    109    23%
polaris\kernelone\akashic\knowledge_pipeline\knowledge_sync.py                                        153    125    18%
polaris\kernelone\akashic\knowledge_pipeline\lancedb_adapter.py                                       351    245    30%
polaris\kernelone\akashic\knowledge_pipeline\lancedb_vector_adapter.py                                 86     68    21%
polaris\kernelone\akashic\knowledge_pipeline\mime_detector.py                                          73     58    21%
polaris\kernelone\akashic\knowledge_pipeline\pipeline.py                                              184    131    29%
polaris\kernelone\akashic\knowledge_pipeline\protocols.py                                              60      0   100%
polaris\kernelone\akashic\knowledge_pipeline\semantic_chunker.py                                      311    273    12%
polaris\kernelone\akashic\memory_manager.py                                                           470    395    16%
polaris\kernelone\akashic\protocols.py                                                                121      0   100%
polaris\kernelone\akashic\semantic_cache.py                                                           181    128    29%
polaris\kernelone\akashic\semantic_memory.py                                                          218    180    17%
polaris\kernelone\akashic\working_memory.py                                                           262    201    23%
polaris\kernelone\audit\__init__.py                                                                     7      0   100%
polaris\kernelone\audit\alerting.py                                                                   193    117    39%
polaris\kernelone\audit\audit_field.py                                                                163    130    20%
polaris\kernelone\audit\contracts.py                                                                   62      6    90%
polaris\kernelone\audit\diagnosis.py                                                                   74     37    50%
polaris\kernelone\audit\omniscient\__init__.py                                                          8      0   100%
polaris\kernelone\audit\omniscient\adapters\__init__.py                                                 6      0   100%
polaris\kernelone\audit\omniscient\adapters\kernel_runtime_adapter.py                                 274    215    22%
polaris\kernelone\audit\omniscient\adapters\otel_exporter.py                                          176    147    16%
polaris\kernelone\audit\omniscient\adapters\sanitization_hook.py                                       88     57    35%
polaris\kernelone\audit\omniscient\adapters\storage_tier_adapter.py                                   180    149    17%
polaris\kernelone\audit\omniscient\bus.py                                                             309    235    24%
polaris\kernelone\audit\omniscient\context.py                                                          66     30    55%
polaris\kernelone\audit\omniscient\context_manager.py                                                 109     54    50%
polaris\kernelone\audit\omniscient\interceptors\__init__.py                                            11      0   100%
polaris\kernelone\audit\omniscient\interceptors\agent.py                                              110     92    16%
polaris\kernelone\audit\omniscient\interceptors\alert.py                                               97     75    23%
polaris\kernelone\audit\omniscient\interceptors\base.py                                                46     17    63%
polaris\kernelone\audit\omniscient\interceptors\context_mgmt.py                                       134    117    13%
polaris\kernelone\audit\omniscient\interceptors\llm.py                                                 87     70    20%
polaris\kernelone\audit\omniscient\interceptors\llm_interceptor.py                                    202    147    27%
polaris\kernelone\audit\omniscient\interceptors\llm_provider_integration.py                           104     83    20%
polaris\kernelone\audit\omniscient\interceptors\task.py                                               178    146    18%
polaris\kernelone\audit\omniscient\interceptors\tool.py                                               106     87    18%
polaris\kernelone\audit\omniscient\interceptors\tracing.py                                             98     84    14%
polaris\kernelone\audit\omniscient\metrics.py                                                         186    140    25%
polaris\kernelone\audit\omniscient\redaction.py                                                        70     51    27%
polaris\kernelone\audit\omniscient\schemas\__init__.py                                                  8      0   100%
polaris\kernelone\audit\omniscient\schemas\base.py                                                     77     29    62%
polaris\kernelone\audit\omniscient\schemas\context_event.py                                            38      8    79%
polaris\kernelone\audit\omniscient\schemas\dialogue_event.py                                           37      5    86%
polaris\kernelone\audit\omniscient\schemas\llm_event.py                                                71     20    72%
polaris\kernelone\audit\omniscient\schemas\task_event.py                                               50     14    72%
polaris\kernelone\audit\omniscient\schemas\tool_event.py                                               53     11    79%
polaris\kernelone\audit\omniscient\storm_detector.py                                                  108     78    28%
polaris\kernelone\audit\registry.py                                                                    18      9    50%
polaris\kernelone\audit\runtime.py                                                                    379    306    19%
polaris\kernelone\audit\validators.py                                                                  48     30    38%
polaris\kernelone\benchmark\__init__.py                                                                14      0   100%
polaris\kernelone\benchmark\adapters\__init__.py                                                        5      0   100%
polaris\kernelone\benchmark\adapters\agentic_adapter.py                                                51     40    22%
polaris\kernelone\benchmark\adapters\context_adapter.py                                                88     49    44%
polaris\kernelone\benchmark\adapters\strategy_adapter.py                                               42     29    31%
polaris\kernelone\benchmark\audit_metrics.py                                                          187    119    36%
polaris\kernelone\benchmark\fixtures.py                                                               141    109    23%
polaris\kernelone\benchmark\holographic_models.py                                                      25      2    92%
polaris\kernelone\benchmark\holographic_registry.py                                                    11      3    73%
polaris\kernelone\benchmark\holographic_runner.py                                                    1651   1392    16%
polaris\kernelone\benchmark\holographic_stats.py                                                       69     47    32%
polaris\kernelone\benchmark\latency.py                                                                122     78    36%
polaris\kernelone\benchmark\memory.py                                                                 148     99    33%
polaris\kernelone\benchmark\models.py                                                                  99     22    78%
polaris\kernelone\benchmark\reproducibility\__init__.py                                                 6      0   100%
polaris\kernelone\benchmark\reproducibility\fixtures.py                                                53     23    57%
polaris\kernelone\benchmark\reproducibility\mocks.py                                                   78     40    49%
polaris\kernelone\benchmark\reproducibility\seed.py                                                    79     46    42%
polaris\kernelone\benchmark\reproducibility\shadow_replay\__init__.py                                   6      0   100%
polaris\kernelone\benchmark\reproducibility\shadow_replay\cassette.py                                 180     95    47%
polaris\kernelone\benchmark\reproducibility\shadow_replay\core.py                                      84     65    23%
polaris\kernelone\benchmark\reproducibility\shadow_replay\exceptions.py                                18      8    56%
polaris\kernelone\benchmark\reproducibility\shadow_replay\http_intercept.py                            93     61    34%
polaris\kernelone\benchmark\reproducibility\shadow_replay\player.py                                    63     38    40%
polaris\kernelone\benchmark\reproducibility\shadow_replay\recorder.py                                  28     16    43%
polaris\kernelone\benchmark\reproducibility\vcr.py                                                     91     56    38%
polaris\kernelone\benchmark\throughput.py                                                             145    102    30%
polaris\kernelone\benchmark\unified_judge.py                                                          553    400    28%
polaris\kernelone\benchmark\unified_models.py                                                         248    128    48%
polaris\kernelone\benchmark\unified_runner.py                                                         204    144    29%
polaris\kernelone\cognitive\__init__.py                                                                13      0   100%
polaris\kernelone\cognitive\config.py                                                                  43      4    91%
polaris\kernelone\cognitive\context.py                                                                210    156    26%
polaris\kernelone\cognitive\design_quality.py                                                          82     31    62%
polaris\kernelone\cognitive\design_system.py                                                          217    116    47%
polaris\kernelone\cognitive\design_tokens\__init__.py                                                   4      0   100%
polaris\kernelone\cognitive\design_tokens\motion.py                                                    86     49    43%
polaris\kernelone\cognitive\design_tokens\palette.py                                                  142     98    31%
polaris\kernelone\cognitive\design_tokens\typography.py                                                47     15    68%
polaris\kernelone\cognitive\evolution\__init__.py                                                       7      0   100%
polaris\kernelone\cognitive\evolution\belief_decay.py                                                  56     36    36%
polaris\kernelone\cognitive\evolution\bias_defense.py                                                  56     42    25%
polaris\kernelone\cognitive\evolution\engine.py                                                        83     64    23%
polaris\kernelone\cognitive\evolution\integrity.py                                                     50     33    34%
polaris\kernelone\cognitive\evolution\knowledge_precipitation.py                                      132    110    17%
polaris\kernelone\cognitive\evolution\models.py                                                        61      0   100%
polaris\kernelone\cognitive\evolution\store.py                                                        131    107    18%
polaris\kernelone\cognitive\execution\__init__.py                                                       5      0   100%
polaris\kernelone\cognitive\execution\acting_handler.py                                               209    169    19%
polaris\kernelone\cognitive\execution\cautious_policy.py                                               48     40    17%
polaris\kernelone\cognitive\execution\pipeline.py                                                      37     12    68%
polaris\kernelone\cognitive\execution\rollback_manager.py                                             135    100    26%
polaris\kernelone\cognitive\execution\thinking_engine.py                                               58     41    29%
polaris\kernelone\cognitive\governance\__init__.py                                                      8      0   100%
polaris\kernelone\cognitive\governance\evolution_metrics.py                                            87     58    33%
polaris\kernelone\cognitive\governance\law_invariants.py                                               56     35    38%
polaris\kernelone\cognitive\governance\maturity_score.py                                               50     23    54%
polaris\kernelone\cognitive\governance\state_tracker.py                                                33     19    42%
polaris\kernelone\cognitive\governance\truthfulness.py                                                 51     31    39%
polaris\kernelone\cognitive\governance\understanding.py                                                67     43    36%
polaris\kernelone\cognitive\governance\verification.py                                                111     75    32%
polaris\kernelone\cognitive\governance_gate.py                                                         61     37    39%
polaris\kernelone\cognitive\hitl.py                                                                    54     27    50%
polaris\kernelone\cognitive\llm_adapter.py                                                             52     26    50%
polaris\kernelone\cognitive\middleware.py                                                              64     50    22%
polaris\kernelone\cognitive\orchestrator.py                                                            69     34    51%
polaris\kernelone\cognitive\perception\__init__.py                                                      2      0   100%
polaris\kernelone\cognitive\perception\context_modeler.py                                             111     87    22%
polaris\kernelone\cognitive\perception\engine.py                                                       30     19    37%
polaris\kernelone\cognitive\perception\intent_inference.py                                             38     29    24%
polaris\kernelone\cognitive\perception\models.py                                                       43      0   100%
polaris\kernelone\cognitive\perception\semantic_parser.py                                              38     29    24%
polaris\kernelone\cognitive\perception\uncertainty.py                                                  61     52    15%
polaris\kernelone\cognitive\personality\__init__.py                                                     4      0   100%
polaris\kernelone\cognitive\personality\expressions.py                                                 43     23    47%
polaris\kernelone\cognitive\personality\integrator.py                                                  65     54    17%
polaris\kernelone\cognitive\personality\posture.py                                                     25      9    64%
polaris\kernelone\cognitive\personality\traits.py                                                      30      9    70%
polaris\kernelone\cognitive\pipeline_coordinator.py                                                   283    211    25%
polaris\kernelone\cognitive\reasoning\__init__.py                                                       3      0   100%
polaris\kernelone\cognitive\reasoning\engine.py                                                       158    141    11%
polaris\kernelone\cognitive\reasoning\meta_cognition.py                                               112     67    40%
polaris\kernelone\cognitive\reasoning\models.py                                                        37      0   100%
polaris\kernelone\cognitive\telemetry.py                                                               44     25    43%
polaris\kernelone\cognitive\types.py                                                                   71      0   100%
polaris\kernelone\cognitive\validators\__init__.py                                                      9      0   100%
polaris\kernelone\cognitive\validators\_base.py                                                        63     51    19%
polaris\kernelone\cognitive\validators\color_validator.py                                             108     82    24%
polaris\kernelone\cognitive\validators\completeness_enforcer.py                                        56     40    29%
polaris\kernelone\cognitive\validators\content_validator.py                                            65     43    34%
polaris\kernelone\cognitive\validators\dispatcher.py                                                  125     74    41%
polaris\kernelone\cognitive\validators\font_validator.py                                               63     45    29%
polaris\kernelone\cognitive\validators\layout_validator.py                                             74     54    27%
polaris\kernelone\cognitive\validators\motion_validator.py                                             79     64    19%
polaris\kernelone\cognitive\validators\output_antislop.py                                              31     23    26%
polaris\kernelone\common\__init__.py                                                                    6      0   100%
polaris\kernelone\common\clock.py                                                                      46     21    54%
polaris\kernelone\constants.py                                                                        123     16    87%
polaris\kernelone\context\__init__.py                                                                  27      0   100%
polaris\kernelone\context\_token_estimator.py                                                           8      5    38%
polaris\kernelone\context\artifact_compression.py                                                      28     13    54%
polaris\kernelone\context\budget_gate.py                                                              125     71    43%
polaris\kernelone\context\cache.py                                                                     32     11    66%
polaris\kernelone\context\cache_manager.py                                                            345    241    30%
polaris\kernelone\context\cache_policies.py                                                            76     32    58%
polaris\kernelone\context\chunks\__init__.py                                                            5      0   100%
polaris\kernelone\context\chunks\assembler.py                                                         249    188    24%
polaris\kernelone\context\chunks\budget.py                                                            117     76    35%
polaris\kernelone\context\chunks\receipt.py                                                           117     42    64%
polaris\kernelone\context\chunks\taxonomy.py                                                           69     15    78%
polaris\kernelone\context\compaction.py                                                               312    245    21%
polaris\kernelone\context\compaction_strategy.py                                                       91     76    16%
polaris\kernelone\context\context_os\__init__.py                                                       27      0   100%
polaris\kernelone\context\context_os\attention\__init__.py                                              4      0   100%
polaris\kernelone\context\context_os\attention\embeddings.py                                           82     58    29%
